checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,age_bin,predicted_class,predicted_proba
'0<=X<200',18,'critical/other existing credit',furniture/equipment,7374,'<100',unemployed,4,'male single',none,4,'life insurance',40,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.43786607878636397
'0<=X<200',15,'critical/other existing credit',business,2326,'500<=X<1000','1<=X<4',2,'male single',none,4,car,27,bank,own,1,skilled,1,none,yes,good,25-34,0,0.12717978687932574
'no checking',9,'existing paid',business,1449,'<100','4<=X<7',3,'female div/dep/mar',none,2,car,27,none,own,2,skilled,1,none,yes,good,25-34,0,0.0992489992882184
'no checking',18,'existing paid','new car',1820,'<100','1<=X<4',2,'male mar/wid',none,2,'life insurance',30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.12079691149091883
'0<=X<200',12,'existing paid',furniture/equipment,983,'>=1000','<1',1,'female div/dep/mar',none,4,'real estate',19,none,rent,1,'unskilled resident',1,none,yes,good,<25,0,0.13891006718241555
'<0',6,'critical/other existing credit',radio/tv,1957,'<100','4<=X<7',1,'female div/dep/mar',none,4,car,31,none,own,1,skilled,1,none,yes,good,25-34,0,0.07950410954184534
'no checking',9,'critical/other existing credit',furniture/equipment,2406,'<100',unemployed,2,'male single',none,3,car,31,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good,25-34,0,0.04370786888736563
'<0',36,'critical/other existing credit',furniture/equipment,2348,'<100','1<=X<4',3,'male mar/wid',none,2,'life insurance',46,none,own,2,skilled,1,yes,yes,good,35-49,0,0.35186687447682247
'0<=X<200',12,'existing paid','new car',1223,'<100','>=7',1,'male div/sep',none,1,'real estate',46,none,rent,2,skilled,1,none,yes,bad,35-49,0,0.49673066016245254
'no checking',24,'critical/other existing credit',radio/tv,1516,'>=1000','1<=X<4',4,'female div/dep/mar',none,1,'real estate',43,none,own,2,'unskilled resident',1,none,yes,good,35-49,0,0.029285105486478006
'no checking',18,'existing paid',radio/tv,1473,'<100','<1',3,'male mar/wid',none,4,'real estate',39,none,own,1,skilled,1,yes,yes,good,35-49,0,0.10864790594815653
'0<=X<200',18,'critical/other existing credit',business,1887,'no known savings','1<=X<4',4,'male mar/wid',none,4,'real estate',28,bank,own,2,skilled,1,none,yes,good,25-34,0,0.20952348646922606
'no checking',24,'delayed previously',business,8648,'<100','<1',2,'male single',none,2,car,27,bank,own,2,skilled,1,yes,yes,bad,25-34,0,0.3508628886977392
'no checking',14,'delayed previously','new car',802,'<100','1<=X<4',4,'male single',none,2,car,27,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.19592698016444052
'0<=X<200',18,'delayed previously','new car',2899,'no known savings','>=7',4,'male single',none,4,car,43,none,own,1,skilled,2,none,yes,good,35-49,0,0.3113638567920048
'0<=X<200',24,'existing paid',radio/tv,2039,'<100','<1',1,'male mar/wid',none,1,'life insurance',22,none,own,1,skilled,1,yes,yes,bad,<25,0,0.2357015471936664
'no checking',24,'critical/other existing credit','used car',2197,'no known savings','4<=X<7',4,'male single',none,4,car,43,none,own,2,skilled,2,yes,yes,good,35-49,0,0.010943425236537664
'<0',15,'existing paid',radio/tv,1053,'<100','<1',4,'male mar/wid',none,2,'real estate',27,none,own,1,skilled,1,none,no,good,25-34,0,0.24127352059746424
'no checking',24,'existing paid',radio/tv,3235,'500<=X<1000','>=7',3,'male div/sep',none,2,car,26,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.12027568845833053
'>=200',12,'critical/other existing credit','new car',939,'500<=X<1000','4<=X<7',4,'male mar/wid',none,2,'real estate',28,none,own,3,skilled,1,yes,yes,bad,25-34,0,0.09156570146945923
'0<=X<200',24,'existing paid',radio/tv,1967,'<100','>=7',4,'female div/dep/mar',none,4,car,20,none,own,1,skilled,1,yes,yes,good,<25,0,0.4361113407948199
'no checking',33,'critical/other existing credit','used car',7253,'<100','4<=X<7',3,'male single',none,2,car,35,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.0336649335107958
'no checking',12,'critical/other existing credit',business,2292,'<100',unemployed,4,'male single',none,2,car,42,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,35-49,0,0.09133081769134747
'no checking',10,'existing paid','new car',1597,'500<=X<1000','1<=X<4',3,'male single',none,2,'no known property',40,none,rent,1,'unskilled resident',2,none,no,good,35-49,0,0.13063701024209304
'<0',24,'existing paid','new car',1381,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',35,none,own,1,skilled,1,none,yes,bad,25-34,0,0.45493146322172706
'no checking',36,'critical/other existing credit','used car',5842,'<100','>=7',2,'male single',none,2,'life insurance',35,none,own,2,skilled,2,yes,yes,good,25-34,0,0.05294527099718301
'no checking',21,'existing paid','new car',2782,'500<=X<1000','4<=X<7',1,'female div/dep/mar',none,2,car,31,bank,own,1,'high qualif/self emp/mgmt',1,none,yes,good,25-34,0,0.13659453937399432
'0<=X<200',18,'existing paid','new car',1042,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',33,none,own,1,skilled,1,none,yes,bad,25-34,0,0.318172341206335
'no checking',15,'existing paid','new car',3186,'>=1000','4<=X<7',2,'female div/dep/mar',none,3,car,20,none,rent,1,skilled,1,none,yes,good,<25,0,0.08154165809422698
'0<=X<200',12,'existing paid','used car',2028,'no known savings','1<=X<4',4,'male single',none,2,car,30,none,own,1,skilled,1,none,yes,good,25-34,0,0.07315563818053782
'0<=X<200',12,'critical/other existing credit','new car',958,'<100','4<=X<7',2,'male single',none,3,'real estate',47,none,own,2,'unskilled resident',2,none,yes,good,35-49,0,0.10456382547192594
'no checking',21,'delayed previously',furniture/equipment,1591,'100<=X<500','4<=X<7',4,'male single',none,3,'real estate',34,none,own,2,'high qualif/self emp/mgmt',1,none,yes,good,25-34,0,0.060201771829353636
'0<=X<200',12,'existing paid',furniture/equipment,2762,'no known savings','>=7',1,'female div/dep/mar',none,2,'life insurance',25,bank,own,1,skilled,1,yes,yes,bad,<25,0,0.16352707091577423
'0<=X<200',18,'existing paid','used car',2779,'<100','1<=X<4',1,'male mar/wid',none,3,car,21,none,rent,1,skilled,1,yes,yes,good,<25,0,0.18269481183693126
'no checking',28,'critical/other existing credit',radio/tv,2743,'<100','>=7',4,'male single',none,2,car,29,none,own,2,skilled,1,none,yes,good,25-34,0,0.09965472134203505
'no checking',18,'critical/other existing credit',radio/tv,1149,'>=1000','1<=X<4',4,'male single',none,3,'real estate',46,none,own,2,skilled,1,none,yes,good,35-49,0,0.0136647366412047
'no checking',9,'existing paid',furniture/equipment,1313,'<100','>=7',1,'male single',none,4,car,20,none,own,1,skilled,1,none,yes,good,<25,0,0.04994582179411848
'no checking',5,'existing paid',business,3448,'<100','4<=X<7',1,'male single',none,4,'real estate',74,none,own,1,'unskilled resident',1,none,yes,good,65+,0,0.019224715222058732
'<0',6,'critical/other existing credit',furniture/equipment,1872,'<100',unemployed,4,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.30661684698826824
'no checking',24,'critical/other existing credit',repairs,2058,'<100','1<=X<4',4,'male div/sep',none,2,'real estate',33,none,own,2,skilled,1,yes,yes,good,25-34,0,0.19425505576155283
'<0',9,'existing paid',furniture/equipment,2136,'<100','1<=X<4',3,'male single',none,2,'real estate',25,none,own,1,skilled,1,none,yes,good,<25,0,0.28225132738529435
'0<=X<200',12,'existing paid',radio/tv,1484,'no known savings','1<=X<4',2,'male mar/wid',none,1,'real estate',25,none,own,1,skilled,1,yes,yes,bad,<25,0,0.05579169523320091
'no checking',6,'existing paid',repairs,660,'500<=X<1000','4<=X<7',2,'male mar/wid',none,4,'real estate',23,none,rent,1,'unskilled resident',1,none,yes,good,<25,0,0.06389880844823648
'no checking',24,'critical/other existing credit','new car',1287,'>=1000','>=7',4,'female div/dep/mar',none,4,'real estate',37,none,own,2,skilled,1,yes,yes,good,35-49,0,0.046156376830891716
'>=200',12,'all paid',business,609,'<100','<1',4,'female div/dep/mar',none,1,'real estate',26,none,own,1,'unemp/unskilled non res',1,none,yes,bad,25-34,0,0.3307068057645331
'no checking',12,'existing paid','new car',1884,'<100','>=7',4,'male single',none,4,car,39,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.13534211377904382
'<0',12,'existing paid',furniture/equipment,1620,'<100','1<=X<4',2,'female div/dep/mar','co applicant',3,'life insurance',30,none,own,1,skilled,1,none,yes,good,25-34,0,0.4462312675725046
'0<=X<200',20,'delayed previously',other,2629,'<100','1<=X<4',2,'male single',none,3,car,29,bank,own,2,skilled,1,yes,yes,good,25-34,0,0.26138635935654997
'no checking',12,'existing paid',education,719,'<100','>=7',4,'male single',none,4,car,41,bank,own,1,'unskilled resident',2,none,yes,bad,35-49,0,0.49384219412950275
'0<=X<200',48,'critical/other existing credit',furniture/equipment,5096,'<100','1<=X<4',2,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad,25-34,0,0.33253900792375063
'no checking',9,'critical/other existing credit',education,1244,'no known savings','>=7',4,'female div/dep/mar',none,4,'life insurance',41,none,rent,2,'unskilled resident',1,none,yes,good,35-49,0,0.13206905623822332
'0<=X<200',7,'existing paid',radio/tv,2576,'<100','1<=X<4',2,'male single',guarantor,2,'real estate',35,none,own,1,skilled,1,none,yes,good,25-34,0,0.07792617552968999
'>=200',12,'existing paid',furniture/equipment,1424,'no known savings','>=7',3,'female div/dep/mar',none,4,'real estate',55,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,50-64,0,0.06390323159421335
'0<=X<200',15,'delayed previously',repairs,1512,'>=1000','1<=X<4',3,'male mar/wid',none,3,'life insurance',61,stores,own,2,skilled,1,none,yes,bad,50-64,0,0.23859910126720288
'no checking',36,'critical/other existing credit','used car',11054,'no known savings','1<=X<4',4,'male single',none,2,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.038761435065264645
'no checking',6,'existing paid',radio/tv,518,'<100','1<=X<4',3,'female div/dep/mar',none,1,'real estate',29,none,own,1,skilled,1,none,yes,good,25-34,0,0.07894726846784172
'no checking',12,'no credits/all paid',furniture/equipment,2759,'<100','>=7',2,'male single',none,4,'life insurance',34,none,own,2,skilled,1,none,yes,good,25-34,0,0.1416403452933948
'no checking',24,'existing paid','used car',2670,'<100','>=7',4,'male single',none,4,car,35,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.06676820584917474
'<0',24,'existing paid','new car',4817,'<100','4<=X<7',2,'male single','co applicant',3,'life insurance',31,none,own,1,skilled,1,yes,yes,bad,25-34,0,0.40222819638435475
'no checking',24,'existing paid','used car',2679,'<100','<1',4,'female div/dep/mar',none,1,'no known property',29,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.2901640735259387
'<0',11,'critical/other existing credit','new car',3905,'<100','1<=X<4',2,'male single',none,2,'real estate',36,none,rent,2,skilled,2,none,yes,good,35-49,0,0.4021547625566972
'<0',12,'existing paid','used car',3386,'<100','>=7',3,'male single',none,4,'no known property',35,none,'for free',1,skilled,1,yes,yes,bad,25-34,0,0.2087263649385708
'<0',6,'existing paid','domestic appliance',343,'<100','<1',4,'female div/dep/mar',none,1,'real estate',27,none,own,1,skilled,1,none,yes,good,25-34,0,0.478923391990152
'no checking',18,'existing paid',radio/tv,4594,'<100','<1',3,'male single',none,2,car,32,none,own,1,skilled,1,yes,yes,good,25-34,0,0.12354118395577064
'<0',36,'existing paid',furniture/equipment,3620,'<100','1<=X<4',1,'male single',guarantor,2,'life insurance',37,none,own,1,skilled,2,none,yes,good,35-49,0,0.3172448906490969
'<0',15,'existing paid','new car',1721,'<100','<1',2,'male single',none,3,'real estate',36,none,own,1,skilled,1,none,yes,good,35-49,0,0.4041935414280607
'0<=X<200',12,'existing paid',retraining,754,'no known savings','>=7',4,'male single',none,4,'life insurance',38,none,own,2,skilled,1,none,yes,good,35-49,0,0.09407766709114106
'no checking',18,'existing paid',business,1950,'<100','4<=X<7',4,'male single',none,1,car,34,stores,own,2,skilled,1,yes,yes,good,25-34,0,0.10917243995672606
'no checking',48,'delayed previously',radio/tv,7238,'no known savings','>=7',3,'male single',none,3,car,32,bank,own,2,skilled,2,none,yes,good,25-34,0,0.34689259314415655
'no checking',33,'delayed previously',business,2764,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,yes,yes,good,25-34,0,0.15992403519855533
'no checking',24,'delayed previously','used car',4679,'<100','4<=X<7',3,'male single',none,3,car,35,none,own,2,'unskilled resident',1,yes,yes,good,25-34,0,0.04538569215614714
'0<=X<200',24,'existing paid',radio/tv,3092,'100<=X<500','<1',3,'male mar/wid',none,2,car,22,none,rent,1,skilled,1,yes,yes,bad,<25,0,0.4789833442517294
'<0',9,'existing paid','new car',654,'<100','1<=X<4',4,'male single',none,3,car,28,none,own,1,'unskilled resident',1,none,yes,bad,25-34,0,0.4777878592880429
'no checking',6,'existing paid',retraining,1238,'no known savings',unemployed,4,'male single',none,4,'life insurance',36,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,good,35-49,0,0.032341739988905875
'0<=X<200',18,'critical/other existing credit',radio/tv,1245,'<100','1<=X<4',4,'male mar/wid',none,2,car,33,none,own,1,skilled,1,none,yes,bad,25-34,0,0.2240318612445204
'no checking',39,'existing paid','used car',2569,'500<=X<1000','1<=X<4',4,'male single',none,4,car,24,none,own,1,skilled,1,none,yes,good,<25,0,0.08920859816167219
'>=200',24,'existing paid',radio/tv,5152,'<100','4<=X<7',4,'male single',none,2,car,25,bank,own,1,skilled,1,none,yes,good,<25,0,0.4514439453907042
'0<=X<200',12,'existing paid',business,1037,'100<=X<500','4<=X<7',3,'male single',none,4,'real estate',39,none,own,1,'unskilled resident',1,none,yes,good,35-49,0,0.08828809754259156
'<0',15,'critical/other existing credit',furniture/equipment,1478,'<100','>=7',4,'male single',none,4,car,44,none,own,2,skilled,2,yes,yes,good,35-49,0,0.2759501615904044
'0<=X<200',12,'critical/other existing credit',radio/tv,3573,'<100','1<=X<4',1,'female div/dep/mar',none,1,'real estate',23,none,own,1,'unskilled resident',1,none,yes,good,<25,0,0.09687394389206751
'<0',30,'existing paid',furniture/equipment,3622,'>=1000','>=7',4,'female div/dep/mar',none,4,'life insurance',57,none,rent,2,skilled,1,yes,yes,good,50-64,0,0.4769778198334897
'no checking',15,'delayed previously',furniture/equipment,960,'>=1000','4<=X<7',3,'female div/dep/mar',none,2,'life insurance',30,none,own,2,skilled,1,none,yes,good,25-34,0,0.03234232227625019
'no checking',12,'critical/other existing credit','new car',1163,'500<=X<1000','1<=X<4',4,'male single',none,4,'real estate',44,none,own,1,skilled,1,yes,yes,good,35-49,0,0.029949530094055536
'0<=X<200',6,'delayed previously','new car',1209,'<100',unemployed,4,'male single',none,4,'life insurance',47,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad,35-49,0,0.32594073779856897
'no checking',12,'existing paid',radio/tv,3077,'<100','1<=X<4',2,'male single',none,4,car,52,none,own,1,skilled,1,yes,yes,good,50-64,0,0.04424318238295316
'no checking',24,'existing paid','new car',3757,'<100','>=7',4,'female div/dep/mar','co applicant',4,'no known property',62,none,'for free',1,skilled,1,yes,yes,good,50-64,0,0.4568242059379705
'no checking',10,'existing paid','new car',1418,'100<=X<500','1<=X<4',3,'male single',none,2,'real estate',35,none,rent,1,'unskilled resident',1,none,no,good,25-34,0,0.044472118459872464
'no checking',6,'existing paid','new car',3518,'<100','1<=X<4',2,'male single',guarantor,3,'life insurance',26,none,rent,1,skilled,1,none,yes,good,25-34,0,0.11016289600731886
'no checking',12,'critical/other existing credit',radio/tv,1934,'<100','>=7',2,'male single',none,2,'no known property',26,none,own,2,skilled,1,none,yes,good,25-34,0,0.07246672190366098
'no checking',6,'critical/other existing credit',radio/tv,1237,'100<=X<500','1<=X<4',1,'female div/dep/mar',none,1,'life insurance',27,none,own,2,skilled,1,none,yes,good,25-34,0,0.020680428117525455
'0<=X<200',6,'existing paid',radio/tv,368,'no known savings','>=7',4,'male single',none,4,'life insurance',38,none,own,1,skilled,1,none,yes,good,35-49,0,0.08064296691561845
'<0',12,'critical/other existing credit','new car',2122,'<100','1<=X<4',3,'male single',none,2,'real estate',39,none,rent,2,'unskilled resident',2,none,no,good,35-49,0,0.19548353407072516
'<0',24,'existing paid',furniture/equipment,2996,'no known savings','1<=X<4',2,'male mar/wid',none,4,car,20,none,own,1,skilled,1,none,yes,bad,<25,0,0.25436887436312217
'no checking',24,'critical/other existing credit',furniture/equipment,1585,'<100','4<=X<7',4,'male single',none,3,'life insurance',40,none,own,2,skilled,1,none,yes,good,35-49,0,0.056453169045606606
'0<=X<200',18,'existing paid',radio/tv,1301,'<100','>=7',4,'male mar/wid',guarantor,2,'real estate',32,none,own,1,'unskilled resident',1,none,yes,good,25-34,0,0.24624062532112562
'>=200',6,'critical/other existing credit','new car',1323,'100<=X<500','>=7',2,'male div/sep',none,4,car,28,none,own,2,skilled,2,yes,yes,good,25-34,0,0.18805433876523936
'<0',36,'existing paid','used car',5493,'<100','>=7',2,'male single',none,4,'no known property',42,none,'for free',1,skilled,2,none,yes,good,35-49,0,0.4665607357016729
'>=200',9,'existing paid',radio/tv,1126,'100<=X<500','>=7',2,'male div/sep',none,4,'real estate',49,none,own,1,skilled,1,none,yes,good,35-49,0,0.14234587174578148
'no checking',10,'existing paid','new car',1309,'no known savings','1<=X<4',4,'male single',guarantor,4,'life insurance',27,none,own,1,'unskilled resident',1,none,yes,bad,25-34,0,0.04067795580249227
'>=200',15,'critical/other existing credit','used car',2360,'500<=X<1000','1<=X<4',2,'male single',none,2,car,36,none,own,1,skilled,1,yes,yes,good,35-49,0,0.016501206472432136
'0<=X<200',15,'all paid','new car',6850,'100<=X<500',unemployed,1,'male single',none,2,'life insurance',34,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,bad,25-34,0,0.40254842240469046
'no checking',24,'existing paid',radio/tv,1413,'<100','1<=X<4',4,'male mar/wid',none,2,'life insurance',28,none,own,1,skilled,1,none,yes,good,25-34,0,0.19191256433346315
'no checking',39,'existing paid','used car',8588,'100<=X<500','>=7',4,'male single',none,2,car,45,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.13113648585820636
'<0',12,'existing paid','new car',759,'<100','4<=X<7',4,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,bad,25-34,0,0.33643412257163013
'no checking',36,'existing paid','used car',4686,'<100','1<=X<4',2,'male single',none,2,'no known property',32,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.0708092592573183
'>=200',15,'existing paid',business,2687,'<100','4<=X<7',2,'male single',none,4,'life insurance',26,none,rent,1,skilled,1,yes,yes,good,25-34,0,0.12231114677442047
'no checking',24,'existing paid','new car',2255,'no known savings','<1',4,'male single',none,1,'life insurance',54,none,own,1,skilled,1,none,yes,good,50-64,0,0.12366609355755856
'<0',6,'critical/other existing credit','new car',609,'<100','4<=X<7',4,'female div/dep/mar',none,3,'life insurance',37,none,own,2,skilled,1,none,no,good,35-49,0,0.12161489453553005
'<0',6,'critical/other existing credit','new car',1361,'<100','<1',2,'male single',none,4,'real estate',40,none,own,1,'unskilled resident',2,none,no,good,35-49,0,0.08843844467149979
'no checking',36,'critical/other existing credit',furniture/equipment,7127,'<100','<1',2,'female div/dep/mar',none,4,'life insurance',23,none,rent,2,skilled,1,yes,yes,bad,<25,0,0.3099274317601979
'<0',6,'existing paid','new car',1203,'100<=X<500','>=7',3,'male single',none,2,'life insurance',43,none,own,1,skilled,1,yes,yes,good,35-49,0,0.2332264899156758
'no checking',6,'critical/other existing credit',radio/tv,700,'no known savings','>=7',4,'male single',none,4,'no known property',36,none,'for free',2,skilled,1,none,yes,good,35-49,0,0.019271178090190196
'no checking',24,'critical/other existing credit',repairs,5507,'<100','>=7',3,'male single',none,4,'no known property',44,none,'for free',2,skilled,1,none,yes,good,35-49,0,0.18013363600755555
'<0',18,'existing paid',radio/tv,3190,'<100','1<=X<4',2,'female div/dep/mar',none,2,'real estate',24,none,own,1,skilled,1,none,yes,bad,<25,0,0.3639874452658789
'no checking',24,'existing paid','used car',3488,'100<=X<500','4<=X<7',3,'female div/dep/mar',none,4,car,23,none,own,1,skilled,1,none,yes,good,<25,0,0.06886300309927873
'0<=X<200',18,'existing paid',radio/tv,1113,'<100','1<=X<4',4,'female div/dep/mar',guarantor,4,'real estate',26,none,own,1,'unskilled resident',2,none,yes,good,25-34,0,0.33377061826145743
'0<=X<200',26,'existing paid','used car',7966,'<100','<1',2,'male single',none,3,car,30,none,own,2,skilled,1,none,yes,good,25-34,0,0.3719126071501786
'no checking',15,'critical/other existing credit',education,1532,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,3,car,31,none,own,1,skilled,1,none,yes,good,25-34,0,0.1761651565284089
'no checking',4,'critical/other existing credit',radio/tv,1503,'<100','4<=X<7',2,'male single',none,1,'real estate',42,none,own,2,'unskilled resident',2,none,yes,good,35-49,0,0.015132573794614253
'<0',6,'existing paid','new car',662,'<100','<1',3,'male single',none,4,'real estate',41,none,own,1,'unskilled resident',2,yes,yes,good,35-49,0,0.39305928234699394
'0<=X<200',15,'existing paid','new car',2631,'100<=X<500','1<=X<4',2,'female div/dep/mar',none,4,car,28,none,rent,2,skilled,1,yes,yes,bad,25-34,0,0.4736822409238281
'no checking',12,'delayed previously','used car',1503,'<100','1<=X<4',4,'male mar/wid',none,4,'real estate',41,none,rent,1,skilled,1,none,yes,good,35-49,0,0.11500129386424668
'no checking',24,'existing paid',radio/tv,1311,'100<=X<500','4<=X<7',4,'male mar/wid',none,3,'life insurance',26,none,own,1,skilled,1,yes,yes,good,25-34,0,0.07376196751993962
'no checking',24,'existing paid',radio/tv,3105,'no known savings','<1',4,'male single',none,2,car,25,none,own,2,skilled,1,none,yes,good,<25,0,0.10055003958239433
'<0',6,'existing paid','new car',1374,'no known savings',unemployed,4,'female div/dep/mar',none,3,'life insurance',75,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,65+,0,0.29390967684945135
'0<=X<200',18,'critical/other existing credit',furniture/equipment,3612,'<100','>=7',3,'female div/dep/mar',none,4,'life insurance',37,none,own,1,skilled,1,yes,yes,good,35-49,0,0.21671202901785144
'>=200',18,'existing paid',furniture/equipment,3049,'<100','<1',1,'female div/dep/mar',none,1,'life insurance',45,stores,own,1,'unskilled resident',1,none,yes,good,35-49,0,0.3555389968721306
'0<=X<200',12,'existing paid',radio/tv,1534,'<100','<1',1,'male mar/wid',none,1,'real estate',23,none,rent,1,skilled,1,none,yes,bad,<25,0,0.29088897945864045
'no checking',24,'delayed previously','new car',2032,'<100','>=7',4,'male single',none,4,'no known property',60,none,'for free',2,skilled,1,yes,yes,good,50-64,0,0.2331375902469804
'<0',30,'existing paid',furniture/equipment,6350,'no known savings','>=7',4,'male single',none,4,'life insurance',31,none,own,1,skilled,1,none,yes,bad,25-34,0,0.40735379183587017
'>=200',18,'existing paid',furniture/equipment,2864,'<100','1<=X<4',2,'male single',none,1,'real estate',34,none,own,1,'unskilled resident',2,none,yes,bad,25-34,0,0.2007900683592955
'no checking',12,'critical/other existing credit','new car',1255,'<100','>=7',4,'male single',none,4,'real estate',61,none,own,2,'unskilled resident',1,none,yes,good,50-64,0,0.07731951651565894
'no checking',24,'critical/other existing credit','new car',2022,'<100','1<=X<4',4,'female div/dep/mar',none,4,car,37,none,own,1,skilled,1,yes,yes,good,35-49,0,0.1624007668120968
'no checking',24,'existing paid',radio/tv,1552,'<100','4<=X<7',3,'male single',none,1,car,32,bank,own,1,skilled,2,none,yes,good,25-34,0,0.18000860166863092
'no checking',48,'critical/other existing credit','used car',8858,'no known savings','4<=X<7',2,'male single',none,1,'no known property',35,none,'for free',2,skilled,1,yes,yes,good,25-34,0,0.021425918732685602
'no checking',12,'critical/other existing credit',repairs,996,'no known savings','4<=X<7',4,'female div/dep/mar',none,4,'real estate',23,none,own,2,skilled,1,none,yes,good,<25,0,0.032805061708616044
'no checking',6,'all paid',radio/tv,1750,'500<=X<1000','>=7',2,'male single',none,4,'life insurance',45,bank,own,1,'unskilled resident',2,none,yes,good,35-49,0,0.09848124815544577
'<0',48,'existing paid',radio/tv,6999,'<100','4<=X<7',1,'male mar/wid',guarantor,1,'real estate',34,none,own,2,skilled,1,yes,yes,bad,25-34,0,0.28667607885442686
'0<=X<200',12,'critical/other existing credit','new car',1995,'100<=X<500','<1',4,'male single',none,1,car,27,none,own,1,skilled,1,none,yes,good,25-34,0,0.2630858016762104
'0<=X<200',9,'existing paid',education,1199,'<100','4<=X<7',4,'female div/dep/mar',none,4,'life insurance',67,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,good,65+,0,0.3910624674350529
'0<=X<200',12,'existing paid',radio/tv,1331,'<100','<1',2,'male single',none,1,car,22,stores,own,1,skilled,1,none,yes,bad,<25,0,0.2807968044396525
'no checking',21,'no credits/all paid','new car',5003,'no known savings','1<=X<4',1,'female div/dep/mar',none,4,'life insurance',29,bank,own,2,skilled,1,yes,yes,bad,25-34,0,0.2383227523806903
'0<=X<200',18,'critical/other existing credit',furniture/equipment,1928,'<100','<1',2,'male single',none,2,'real estate',31,none,own,2,'unskilled resident',1,none,yes,bad,25-34,0,0.14387018370594332
'<0',24,'existing paid','used car',2964,'no known savings','>=7',4,'male single',none,4,'no known property',49,bank,'for free',1,skilled,2,yes,yes,good,35-49,0,0.3310170765764648
'>=200',6,'delayed previously',radio/tv,683,'<100','<1',2,'female div/dep/mar',none,1,'life insurance',29,bank,own,1,skilled,1,none,yes,good,25-34,0,0.32941078827387815
'0<=X<200',36,'existing paid','new car',12389,'no known savings','1<=X<4',1,'male single',none,4,'no known property',37,none,'for free',1,skilled,1,yes,yes,bad,35-49,0,0.372081250834401
'0<=X<200',24,'delayed previously',business,4712,'no known savings','1<=X<4',4,'male single',none,2,'life insurance',37,bank,own,2,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.28555122782085357
'0<=X<200',24,'delayed previously',radio/tv,1553,'100<=X<500','4<=X<7',3,'female div/dep/mar',none,2,'life insurance',23,none,rent,2,skilled,1,yes,yes,good,<25,0,0.27431533115734
'<0',12,'existing paid','new car',1372,'<100','4<=X<7',2,'male div/sep',none,3,car,36,none,own,1,skilled,1,none,yes,bad,35-49,0,0.4607037123244286
'no checking',24,'critical/other existing credit',radio/tv,2578,'>=1000','>=7',2,'male single',none,2,car,34,none,own,1,skilled,1,none,yes,good,25-34,0,0.011399678363491265
'0<=X<200',48,'existing paid',radio/tv,3979,'no known savings','4<=X<7',4,'male single',none,1,car,41,none,own,2,skilled,2,yes,yes,good,35-49,0,0.24095024056864056
'no checking',30,'critical/other existing credit',radio/tv,5954,'<100','4<=X<7',3,'male single','co applicant',2,car,38,none,own,1,skilled,1,none,yes,good,35-49,0,0.07657742177641182
'no checking',24,'existing paid','used car',5433,'no known savings',unemployed,2,'female div/dep/mar',none,4,'life insurance',26,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.07169703915206202
'0<=X<200',9,'existing paid',radio/tv,1082,'<100','>=7',4,'male single',none,4,car,27,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.28463061825936625
'no checking',15,'critical/other existing credit',furniture/equipment,2788,'<100','4<=X<7',2,'female div/dep/mar','co applicant',3,car,24,bank,own,2,skilled,1,none,yes,good,<25,0,0.14801593625431958
